"season","sites","StationCode","N","turb_quan25","turb_quan5","turb_quan75","IQR"
"all","rest","309ALG",158,46.925,119.15,321.25,274.325
"all","rest","309ASB",157,18.5,36.4,71.4,52.9
"all","rest","309ESP",161,44.5,108.3,361.4,316.9
"all","rest","309GAB",41,236,432,1526,1290
"all","rest","309JON",160,22.625,51.75,146.85,124.225
"all","rest","309MER",162,54.45,106.55,213.7,159.25
"all","rest","309NAD",119,40.6,94.4,373.7,333.1
"all","rest","309OLD",114,35.7,89.15,176.85,141.15
"all","rest","309RTA",15,77.9,461,1412,1334.1
"all","rest","309TEH",162,68.85,114.2,219.65,150.8
"dry","rest","309ALG",67,26.9,55,156.7,129.8
"dry","rest","309ASB",67,11.85,22.6,42.15,30.3
"dry","rest","309ESP",67,13.35,68.9,217,203.65
"dry","rest","309GAB",13,236,349.3,1685.25,1449.25
"dry","rest","309JON",68,17.65,25.5,43.8,26.15
"dry","rest","309MER",69,42.3,76,122,79.7
"dry","rest","309NAD",55,41.6,108,266.1,224.5
"dry","rest","309OLD",49,25.5,74.8,108.2,82.7
"dry","rest","309RTA",7,48.4,71.1,272.85,224.45
"dry","rest","309TEH",69,57.1,88.2,159.4,102.3
"wet","rest","309ALG",91,72.1,196,612,539.9
"wet","rest","309ASB",90,27.25,51.45,102.45,75.2
"wet","rest","309ESP",94,64.575,153.1,535.75,471.175
"wet","rest","309GAB",28,239.025,530,1506.5,1267.475
"wet","rest","309JON",92,42.85,101.85,274.75,231.9
"wet","rest","309MER",93,66.9,156.2,367,300.1
"wet","rest","309NAD",64,39.95,82.65,555.25,515.3
"wet","rest","309OLD",65,55.7,102,222,166.3
"wet","rest","309RTA",8,840.5,1042,1789.75,949.25
"wet","rest","309TEH",93,83.8,140.3,398.8,315
"all","all","305BRS",30,9.6475,18.2,45.625,35.9775
"all","all","305CAN",109,2.4,5.91,17,14.6
"all","all","305CHI",165,9.45,22.4,50.4,40.95
"all","all","305COR",136,9.5625,19.3,38.025,28.4625
"all","all","305FRA",140,40.425,111.5,192.6,152.175
"all","all","305FUF",27,37.65,62.4,98.6,60.95
"all","all","305LCS",149,1.68,3.66,6.8,5.12
"all","all","305PJP",162,4.88,15.6,30.625,25.745
"all","all","305SJA",167,6.885,13.9,22.05,15.165
"all","all","305TSR",156,17.075,36,79.325,62.25
"all","all","305WCS",29,2.13,3.65,9.06,6.93
"all","all","305WSA",115,15.7,40.2,110.4,94.7
"all","all","309ALG",158,46.925,119.15,321.25,274.325
"all","all","309ASB",157,18.5,36.4,71.4,52.9
"all","all","309CCD",59,35.1,95.6,369,333.9
"all","all","309ESP",161,44.5,108.3,361.4,316.9
"all","all","309GAB",41,236,432,1526,1290
"all","all","309JON",160,22.625,51.75,146.85,124.225
"all","all","309MER",162,54.45,106.55,213.7,159.25
"all","all","309NAD",119,40.6,94.4,373.7,333.1
"all","all","309OLD",114,35.7,89.15,176.85,141.15
"all","all","309RTA",15,77.9,461,1412,1334.1
"all","all","309TEH",162,68.85,114.2,219.65,150.8
"all","all","310CCC",134,1.1475,2.155,3.85,2.7025
"all","all","310LBC",46,0.9425,1.88,4.2725,3.33
"all","all","310PRE",156,7.69,10.25,16.125,8.435
"all","all","310USG",154,1.57,2.7,4.84,3.27
"all","all","310WRP",102,1.205,2.425,5.765,4.56
"all","all","312BCC",55,24.45,141.6,573.5,549.05
"all","all","312BCJ",157,25.2,58.6,190.7,165.5
"all","all","312GVS",114,4.45,14.45,66.4,61.95
"all","all","312MSD",153,17.5,42.8,119,101.5
"all","all","312OFC",166,17.3,62.65,263.625,246.325
"all","all","312OFN",162,6.575,17.95,39.575,33
"all","all","312ORC",163,54.35,183.1,455.5,401.15
"all","all","312ORI",166,8.435,19.3,88.375,79.94
"all","all","312SMA",156,52,117.75,218.5,166.5
"all","all","312SMI",28,6.575,34.25,1723,1716.425
"all","all","313SAE",1,142,142,142,0
"all","all","314SYF",112,3.7725,7.32,14.425,10.6525
"all","all","314SYL",55,1.19,3.22,8.15,6.96
"all","all","314SYN",88,1.675,5.175,13.8,12.125
"all","all","315APF",77,0.77,1.65,4.2,3.43
"all","all","315BEF",124,1.1,2.51,5.275,4.175
"all","all","315FMV",154,2.27,3.77,6.715,4.445
"all","all","315GAN",155,1.885,3.4,8.35,6.465
"all","all","315LCC",11,2.29,4,7.47,5.18
"dry","all","305BRS",13,13.9,18.5,43.9,30
"dry","all","305CAN",28,1.675,4.225,14.375,12.7
"dry","all","305CHI",67,7.585,19.8,44.7,37.115
"dry","all","305COR",54,9.535,18.4,39.575,30.04
"dry","all","305FRA",52,88.875,151.6,218.025,129.15
"dry","all","305FUF",12,55.175,63.1,116,60.825
"dry","all","305LCS",59,1.25,3.52,6.195,4.945
"dry","all","305PJP",66,3.5875,7.455,17.15,13.5625
"dry","all","305SJA",69,5.72,9,16.1,10.38
"dry","all","305TSR",61,18.5,36.1,101,82.5
"dry","all","305WCS",13,1.73,2.35,3.65,1.92
"dry","all","305WSA",38,14.45,22.65,99,84.55
"dry","all","309ALG",67,26.9,55,156.7,129.8
"dry","all","309ASB",67,11.85,22.6,42.15,30.3
"dry","all","309CCD",30,29.825,70.35,466,436.175
"dry","all","309ESP",67,13.35,68.9,217,203.65
"dry","all","309GAB",13,236,349.3,1685.25,1449.25
"dry","all","309JON",68,17.65,25.5,43.8,26.15
"dry","all","309MER",69,42.3,76,122,79.7
"dry","all","309NAD",55,41.6,108,266.1,224.5
"dry","all","309OLD",49,25.5,74.8,108.2,82.7
"dry","all","309RTA",7,48.4,71.1,272.85,224.45
"dry","all","309TEH",69,57.1,88.2,159.4,102.3
"dry","all","310CCC",50,1.2,2.4,3.295,2.095
"dry","all","310LBC",11,0.6,1.7,2.18,1.58
"dry","all","310PRE",67,7.68,10.3,13.65,5.97
"dry","all","310USG",66,1.8,2.75,4.07,2.27
"dry","all","310WRP",40,0.6525,1.4,2.625,1.9725
"dry","all","312BCC",23,8.92,25.8,153.8,144.88
"dry","all","312BCJ",71,19.3,33.1,84.2,64.9
"dry","all","312GVS",50,3.525,5.67,17.475,13.95
"dry","all","312MSD",64,12.425,21.4,40.325,27.9
"dry","all","312OFC",72,8.2075,43.1,147.7,139.4925
"dry","all","312OFN",70,4.2425,7.3,20.05,15.8075
"dry","all","312ORC",71,53.2,136.7,411.6,358.4
"dry","all","312ORI",72,6.4175,10.25,22.8,16.3825
"dry","all","312SMA",69,27.1,84.9,179,151.9
"dry","all","312SMI",8,3.35,5.3,8.1,4.75
"dry","all","314SYF",47,2.35,4.65,8.85,6.5
"dry","all","314SYL",17,0.63,2.95,3.89,3.26
"dry","all","314SYN",29,1.4,3.7,8.18,6.78
"dry","all","315APF",31,0.6,1.45,3,2.4
"dry","all","315BEF",49,0.8,2,3.1,2.3
"dry","all","315FMV",66,2.5075,4.295,7.1475,4.64
"dry","all","315GAN",66,1.7925,3.16,5.2025,3.41
"dry","all","315LCC",4,1.6375,2.995,6.79,5.1525
"wet","all","305BRS",17,9.6,17.9,46.2,36.6
"wet","all","305CAN",81,2.75,6,19.2,16.45
"wet","all","305CHI",98,10.9,26.45,55.15,44.25
"wet","all","305COR",82,9.625,19.5,37.25,27.625
"wet","all","305FRA",88,36.075,76.55,163.8,127.725
"wet","all","305FUF",15,22.05,54,92.35,70.3
"wet","all","305LCS",90,1.9025,3.855,9.4225,7.52
"wet","all","305PJP",96,9.4525,19.1,56.6,47.1475
"wet","all","305SJA",98,9.74,17.05,26.675,16.935
"wet","all","305TSR",95,16.05,35.9,66.35,50.3
"wet","all","305WCS",16,3.6225,4.955,23.35,19.7275
"wet","all","305WSA",77,16.6,54.7,119,102.4
"wet","all","309ALG",91,72.1,196,612,539.9
"wet","all","309ASB",90,27.25,51.45,102.45,75.2
"wet","all","309CCD",29,51,113,316,265
"wet","all","309ESP",94,64.575,153.1,535.75,471.175
"wet","all","309GAB",28,239.025,530,1506.5,1267.475
"wet","all","309JON",92,42.85,101.85,274.75,231.9
"wet","all","309MER",93,66.9,156.2,367,300.1
"wet","all","309NAD",64,39.95,82.65,555.25,515.3
"wet","all","309OLD",65,55.7,102,222,166.3
"wet","all","309RTA",8,840.5,1042,1789.75,949.25
"wet","all","309TEH",93,83.8,140.3,398.8,315
"wet","all","310CCC",84,0.9925,2.1,4.41,3.4175
"wet","all","310LBC",35,0.995,2.5,5.46,4.465
"wet","all","310PRE",89,7.8,10.1,20.8,13
"wet","all","310USG",88,1.4875,2.61,5.6075,4.12
"wet","all","310WRP",62,1.6375,3.855,11.2725,9.635
"wet","all","312BCC",32,95.65,372.8,899.5,803.85
"wet","all","312BCJ",86,36.525,107.2,276.65,240.125
"wet","all","312GVS",64,10.7,35.75,114.65,103.95
"wet","all","312MSD",89,32.8,75.3,191.3,158.5
"wet","all","312OFC",94,27.8,94.5,424.55,396.75
"wet","all","312OFN",92,15.35,24.6,49.85,34.5
"wet","all","312ORC",92,68.225,192,502,433.775
"wet","all","312ORI",94,12.925,54,170.65,157.725
"wet","all","312SMA",87,68.65,154,246.5,177.85
"wet","all","312SMI",20,28.25,899.9,3000,2971.75
"wet","all","313SAE",1,142,142,142,0
"wet","all","314SYF",65,5.9,11.2,17.9,12
"wet","all","314SYL",38,1.305,4.98,20.05,18.745
"wet","all","314SYN",59,1.975,5.91,15.1,13.125
"wet","all","315APF",46,0.9275,2.03,4.93,4.0025
"wet","all","315BEF",75,1.35,3,13.75,12.4
"wet","all","315FMV",88,2.1575,3.485,6.4475,4.29
"wet","all","315GAN",89,1.98,4.05,14.9,12.92
"wet","all","315LCC",7,3.2,4,7.47,4.27
"all","not_rest","305BRS",30,9.6475,18.2,45.625,35.9775
"all","not_rest","305CAN",109,2.4,5.91,17,14.6
"all","not_rest","305CHI",165,9.45,22.4,50.4,40.95
"all","not_rest","305COR",136,9.5625,19.3,38.025,28.4625
"all","not_rest","305FRA",140,40.425,111.5,192.6,152.175
"all","not_rest","305FUF",27,37.65,62.4,98.6,60.95
"all","not_rest","305LCS",149,1.68,3.66,6.8,5.12
"all","not_rest","305PJP",162,4.88,15.6,30.625,25.745
"all","not_rest","305SJA",167,6.885,13.9,22.05,15.165
"all","not_rest","305TSR",156,17.075,36,79.325,62.25
"all","not_rest","305WCS",29,2.13,3.65,9.06,6.93
"all","not_rest","305WSA",115,15.7,40.2,110.4,94.7
"all","not_rest","309CCD",59,35.1,95.6,369,333.9
"all","not_rest","310CCC",134,1.1475,2.155,3.85,2.7025
"all","not_rest","310LBC",46,0.9425,1.88,4.2725,3.33
"all","not_rest","310PRE",156,7.69,10.25,16.125,8.435
"all","not_rest","310USG",154,1.57,2.7,4.84,3.27
"all","not_rest","310WRP",102,1.205,2.425,5.765,4.56
"all","not_rest","312BCC",55,24.45,141.6,573.5,549.05
"all","not_rest","312BCJ",157,25.2,58.6,190.7,165.5
"all","not_rest","312GVS",114,4.45,14.45,66.4,61.95
"all","not_rest","312MSD",153,17.5,42.8,119,101.5
"all","not_rest","312OFC",166,17.3,62.65,263.625,246.325
"all","not_rest","312OFN",162,6.575,17.95,39.575,33
"all","not_rest","312ORC",163,54.35,183.1,455.5,401.15
"all","not_rest","312ORI",166,8.435,19.3,88.375,79.94
"all","not_rest","312SMA",156,52,117.75,218.5,166.5
"all","not_rest","312SMI",28,6.575,34.25,1723,1716.425
"all","not_rest","313SAE",1,142,142,142,0
"all","not_rest","314SYF",112,3.7725,7.32,14.425,10.6525
"all","not_rest","314SYL",55,1.19,3.22,8.15,6.96
"all","not_rest","314SYN",88,1.675,5.175,13.8,12.125
"all","not_rest","315APF",77,0.77,1.65,4.2,3.43
"all","not_rest","315BEF",124,1.1,2.51,5.275,4.175
"all","not_rest","315FMV",154,2.27,3.77,6.715,4.445
"all","not_rest","315GAN",155,1.885,3.4,8.35,6.465
"all","not_rest","315LCC",11,2.29,4,7.47,5.18
"dry","not_rest","305BRS",13,13.9,18.5,43.9,30
"dry","not_rest","305CAN",28,1.675,4.225,14.375,12.7
"dry","not_rest","305CHI",67,7.585,19.8,44.7,37.115
"dry","not_rest","305COR",54,9.535,18.4,39.575,30.04
"dry","not_rest","305FRA",52,88.875,151.6,218.025,129.15
"dry","not_rest","305FUF",12,55.175,63.1,116,60.825
"dry","not_rest","305LCS",59,1.25,3.52,6.195,4.945
"dry","not_rest","305PJP",66,3.5875,7.455,17.15,13.5625
"dry","not_rest","305SJA",69,5.72,9,16.1,10.38
"dry","not_rest","305TSR",61,18.5,36.1,101,82.5
"dry","not_rest","305WCS",13,1.73,2.35,3.65,1.92
"dry","not_rest","305WSA",38,14.45,22.65,99,84.55
"dry","not_rest","309CCD",30,29.825,70.35,466,436.175
"dry","not_rest","310CCC",50,1.2,2.4,3.295,2.095
"dry","not_rest","310LBC",11,0.6,1.7,2.18,1.58
"dry","not_rest","310PRE",67,7.68,10.3,13.65,5.97
"dry","not_rest","310USG",66,1.8,2.75,4.07,2.27
"dry","not_rest","310WRP",40,0.6525,1.4,2.625,1.9725
"dry","not_rest","312BCC",23,8.92,25.8,153.8,144.88
"dry","not_rest","312BCJ",71,19.3,33.1,84.2,64.9
"dry","not_rest","312GVS",50,3.525,5.67,17.475,13.95
"dry","not_rest","312MSD",64,12.425,21.4,40.325,27.9
"dry","not_rest","312OFC",72,8.2075,43.1,147.7,139.4925
"dry","not_rest","312OFN",70,4.2425,7.3,20.05,15.8075
"dry","not_rest","312ORC",71,53.2,136.7,411.6,358.4
"dry","not_rest","312ORI",72,6.4175,10.25,22.8,16.3825
"dry","not_rest","312SMA",69,27.1,84.9,179,151.9
"dry","not_rest","312SMI",8,3.35,5.3,8.1,4.75
"dry","not_rest","314SYF",47,2.35,4.65,8.85,6.5
"dry","not_rest","314SYL",17,0.63,2.95,3.89,3.26
"dry","not_rest","314SYN",29,1.4,3.7,8.18,6.78
"dry","not_rest","315APF",31,0.6,1.45,3,2.4
"dry","not_rest","315BEF",49,0.8,2,3.1,2.3
"dry","not_rest","315FMV",66,2.5075,4.295,7.1475,4.64
"dry","not_rest","315GAN",66,1.7925,3.16,5.2025,3.41
"dry","not_rest","315LCC",4,1.6375,2.995,6.79,5.1525
"wet","not_rest","305BRS",17,9.6,17.9,46.2,36.6
"wet","not_rest","305CAN",81,2.75,6,19.2,16.45
"wet","not_rest","305CHI",98,10.9,26.45,55.15,44.25
"wet","not_rest","305COR",82,9.625,19.5,37.25,27.625
"wet","not_rest","305FRA",88,36.075,76.55,163.8,127.725
"wet","not_rest","305FUF",15,22.05,54,92.35,70.3
"wet","not_rest","305LCS",90,1.9025,3.855,9.4225,7.52
"wet","not_rest","305PJP",96,9.4525,19.1,56.6,47.1475
"wet","not_rest","305SJA",98,9.74,17.05,26.675,16.935
"wet","not_rest","305TSR",95,16.05,35.9,66.35,50.3
"wet","not_rest","305WCS",16,3.6225,4.955,23.35,19.7275
"wet","not_rest","305WSA",77,16.6,54.7,119,102.4
"wet","not_rest","309CCD",29,51,113,316,265
"wet","not_rest","310CCC",84,0.9925,2.1,4.41,3.4175
"wet","not_rest","310LBC",35,0.995,2.5,5.46,4.465
"wet","not_rest","310PRE",89,7.8,10.1,20.8,13
"wet","not_rest","310USG",88,1.4875,2.61,5.6075,4.12
"wet","not_rest","310WRP",62,1.6375,3.855,11.2725,9.635
"wet","not_rest","312BCC",32,95.65,372.8,899.5,803.85
"wet","not_rest","312BCJ",86,36.525,107.2,276.65,240.125
"wet","not_rest","312GVS",64,10.7,35.75,114.65,103.95
"wet","not_rest","312MSD",89,32.8,75.3,191.3,158.5
"wet","not_rest","312OFC",94,27.8,94.5,424.55,396.75
"wet","not_rest","312OFN",92,15.35,24.6,49.85,34.5
"wet","not_rest","312ORC",92,68.225,192,502,433.775
"wet","not_rest","312ORI",94,12.925,54,170.65,157.725
"wet","not_rest","312SMA",87,68.65,154,246.5,177.85
"wet","not_rest","312SMI",20,28.25,899.9,3000,2971.75
"wet","not_rest","313SAE",1,142,142,142,0
"wet","not_rest","314SYF",65,5.9,11.2,17.9,12
"wet","not_rest","314SYL",38,1.305,4.98,20.05,18.745
"wet","not_rest","314SYN",59,1.975,5.91,15.1,13.125
"wet","not_rest","315APF",46,0.9275,2.03,4.93,4.0025
"wet","not_rest","315BEF",75,1.35,3,13.75,12.4
"wet","not_rest","315FMV",88,2.1575,3.485,6.4475,4.29
"wet","not_rest","315GAN",89,1.98,4.05,14.9,12.92
"wet","not_rest","315LCC",7,3.2,4,7.47,4.27
"all","ref","305CAN",109,2.4,5.91,17,14.6
"all","ref","305CHI",165,9.45,22.4,50.4,40.95
"all","ref","305COR",136,9.5625,19.3,38.025,28.4625
"all","ref","305LCS",149,1.68,3.66,6.8,5.12
"all","ref","305SJA",167,6.885,13.9,22.05,15.165
"all","ref","310CCC",134,1.1475,2.155,3.85,2.7025
"all","ref","310PRE",156,7.69,10.25,16.125,8.435
"all","ref","312OFN",162,6.575,17.95,39.575,33
"all","ref","312ORI",166,8.435,19.3,88.375,79.94
"all","ref","314SYF",112,3.7725,7.32,14.425,10.6525
"all","ref","314SYL",55,1.19,3.22,8.15,6.96
"all","ref","314SYN",88,1.675,5.175,13.8,12.125
"dry","ref","305CAN",28,1.675,4.225,14.375,12.7
"dry","ref","305CHI",67,7.585,19.8,44.7,37.115
"dry","ref","305COR",54,9.535,18.4,39.575,30.04
"dry","ref","305LCS",59,1.25,3.52,6.195,4.945
"dry","ref","305SJA",69,5.72,9,16.1,10.38
"dry","ref","310CCC",50,1.2,2.4,3.295,2.095
"dry","ref","310PRE",67,7.68,10.3,13.65,5.97
"dry","ref","312OFN",70,4.2425,7.3,20.05,15.8075
"dry","ref","312ORI",72,6.4175,10.25,22.8,16.3825
"dry","ref","314SYF",47,2.35,4.65,8.85,6.5
"dry","ref","314SYL",17,0.63,2.95,3.89,3.26
"dry","ref","314SYN",29,1.4,3.7,8.18,6.78
"wet","ref","305CAN",81,2.75,6,19.2,16.45
"wet","ref","305CHI",98,10.9,26.45,55.15,44.25
"wet","ref","305COR",82,9.625,19.5,37.25,27.625
"wet","ref","305LCS",90,1.9025,3.855,9.4225,7.52
"wet","ref","305SJA",98,9.74,17.05,26.675,16.935
"wet","ref","310CCC",84,0.9925,2.1,4.41,3.4175
"wet","ref","310PRE",89,7.8,10.1,20.8,13
"wet","ref","312OFN",92,15.35,24.6,49.85,34.5
"wet","ref","312ORI",94,12.925,54,170.65,157.725
"wet","ref","314SYF",65,5.9,11.2,17.9,12
"wet","ref","314SYL",38,1.305,4.98,20.05,18.745
"wet","ref","314SYN",59,1.975,5.91,15.1,13.125
