"station_codes","station_names","lat","long"
"306-CARNE-36","Carneros Creek at Blohm Road","36.860035","-121.7400284"
"306-CARNE-31","Carneros Creek at Johnson Road","36.8606","-121.7076035"
"306-CARNE-32","Carneros Creek at mid entry to wetland","36.861401","-121.7167969"
"306-CARNE-33A","Carneros Creek- Sill Road, road flow","36.861801","-121.7226028"
"306-CORNC-31","Corn Cob Canyon Creek/Watsonville Creek","36.873825","-121.7452164"
"307-CARME-366","Carmel River @ Schulte Road - upstream","36.525124","-121.8312073"
"307-CARME-31","Carmel River at Cachuaga Community Center","36.399208","-121.6604691"
"307-CARME-38","Carmel River at Hwy 1 MBNMS","36.536377","-121.9116745"
"307-CARME-33","Carmel River at Rosie's Bridge","36.474358","-121.7275162"
"307-CARME-36","Carmel River at Schulte Road MBNMS","36.525452","-121.8314514"
"310CCC","Chorro Creek upstream from Chorro Flats","35.35746","-120.8121033"
"309HRT","Alisal Creek @ Hartnell Rd dogleg","36.64072","-121.5790176"
"309ASB","Alisal Slough @ White Barn","36.725449","-121.7301712"
"310USG","Arroyo Grande Creek @ old USGS gage","35.124451","-120.5691299"
"315APF","Arroyo Paredon Creek at Foothill Bridge","34.416759","-119.5444183"
"315APC","Arroyo Paredon Creek at Via Real","34.414215","-119.5559387"
"305BRS","Beach Road Ditch at Shell Rd.","36.869781","-121.8151627"
"315BEF","Bell Creek @ Winchester Canyon Park","34.438438","-119.9061203"
"309BLA","Blanco Drain below Pump","36.708519","-121.7489014"
"312BCC","Bradley Canyon Creek @ culvert","34.935352","-120.3559189"
"312BCJ","Bradley Channel @ Jones St","34.945438","-120.4167862"
"314DDE","Canal Trib to Santa Ynez River @ W Central Ave","34.661545","-120.514473"
"305CAN","Carnadero Creek upstream of Pajaro River","36.959942","-121.5345612"
"309CRR","Chualar Creek @ Chualar River Rd","36.563759","-121.5139313"
"309NOS","Chualar Creek @ Old Stage Rd (north branch)","36.577751","-121.4952164"
"309SOS","Chualar Creek @ Old Stage Rd (south branch)","36.545582","-121.4695129"
"309CCD","Chualar Creek west of Highway 101","36.559738","-121.5096436"
"309SBC","Chualar Creek west side of Hwy 101 (south branch)","36.55619","-121.5056534"
"310SLD","Davenport Creek @ Broad St","35.218739","-120.6182404"
"309ESP","Espinosa Slough upstream of Alisal Slough","36.736839","-121.7338562"
"317ESE","Estrella River @ Estrella River Rd upstream Hwy 46","35.65324","-120.5064316"
"315FMV","Franklin Creek @ Mountain View Ln","34.406929","-119.5173264"
"305FUF","Furlong Creek at Frazier Lake Road","36.976681","-121.5104675"
"309GAB","Gabilan Creek @ Independence Rd and East Boranda Rd","36.692234","-121.6291809"
"315GBR","Glen Annie Creek @ Bishop Ranch Rd","34.46627","-119.8796616"
"315GAN","Glenn Annie Creek upstream Cathedral Oaks","34.446049","-119.8755722"
"312GVS","Green Valley @ Simas Rd","34.942001","-120.5565033"
"312OFN","Little Oso Flaco Creek @ railroad trestles","35.022797","-120.5861588"
"305LCS","Llagas Creek @ Southside","36.989311","-121.5328598"
"305LLA","Llagas Creek at Bloomfield Avenue","36.976261","-121.5111084"
"305LHB","Llagas Creek at Highway 152","37.00222","-121.5344467"
"305HOL","Llagas Creek at Holsclaw Road (downstream of Leavesley Road)","37.003983","-121.5346603"
"310LBC","Los Berros Creek @ Century","35.103062","-120.5788879"
"315LCC","Los Carneros Creek at Calle Real","34.439491","-119.8535767"
"315LCR","Los Carneros Creek at Hollister Road","34.431576","-119.8465271"
"312MAB","Main St Ditch @ Bonita School","34.956669","-120.5080566"
"312MSS","Main Street Canal at daylight point","34.953091","-120.4621735"
"312MSD","Main Street Canal at Main Street Crossing","34.955227","-120.4865799"
"309MER","Merrit Ditch upstream from Hwy 183","36.751839","-121.7420807"
"314MCM","Miguelito Creek mouth @ treatment plant","34.663334","-120.4794464"
"309NAD","Natividad Creek upstream from Salinas Reclamation Canal","36.70808","-121.5995789"
"309OLD","Old Salinas River at Monterey Dunes Way","36.772289","-121.7878571"
"312ORI","Orcutt Creek @ Hwy 1","34.941376","-120.5728836"
"312ORS","Orcutt Creek @ Solomon Rd","34.871944","-120.4663925"
"312ORC","Orcutt Creek at sand plant above Santa Maria River","34.957554","-120.6314545"
"312ORN","Orcutt North Fork Tributary near sand plant","34.956669","-120.6302795"
"312ORB","Orcutt Solomon Creek at Black Road","34.883862","-120.4940643"
"312BSR","Oso Flaco Creek @ Bonita School & Division (south ditch)","35.003471","-120.5190887"
"312OLR","Oso Flaco Creek @ Hwy 1 & Oso Flaco Lake Rd (north ditch)","35.010548","-120.5674286"
"312OSR","Oso Flaco Creek @ Hwy 1 and south RR trestle","34.995979","-120.5699997"
"312USC","Oso Flaco Creek @ Oso Flaco Lake Rd upstream creek confluence","35.015835","-120.5858307"
"312OFC","Oso Flaco Creek at Oso Flaco Lake Road","35.016388","-120.5862579"
"305CHI","Pajaro River at Chittenden Gap","36.90033","-121.5961533"
"305FRA","Pajaro River at Frazier Lake Road","36.963421","-121.4908295"
"305PJP","Pajaro River at Porter/Main","36.9044","-121.7503967"
"310PRE","Prefumo Creek  @ Calle Joaquin","35.246872","-120.6817093"
"309QUI","Quail Creek @ Hwy 101","36.609558","-121.5613708"
"309UQA","Quail Creek @ Old Stage Rd","36.616714","-121.5215683"
"309QUA","Quail Creek at Potter Road crossing","36.611305","-121.5473175"
"309QCW","Quail Creek west of Hwy 101 @ RR tracks","36.6091","-121.5623322"
"309ALG","Salinas Reclamation Canal @ La Guardia","36.65683","-121.6135025"
"309JON","Salinas Reclamation Canal @ San Jon Rd","36.702469","-121.7086792"
"309AVR","Salinas Reclamation Canal @ Victor Rd","36.68586","-121.6745911"
"309SAG","Salinas River @ Gonzales River Rd Bridge","36.48634","-121.4697495"
"309SSP","Salinas River @ Spreckels Gage","36.629051","-121.6881485"
"309USA","Salinas River At Bradley Bridge","35.864109","-120.8091202"
"309SAC","Salinas River at Chualar River Road","36.553757","-121.5477371"
"309GRN","Salinas River Elm Road in Greenfield","36.337688","-121.2051773"
"309SUN","Salinas River upstream Nacimiento @ Bradley Rd","35.82576","-120.7508926"
"305COR","Salsipuedes Creek downstream of Corralitos Creek","36.912754","-121.743721"
"313SAE","San Antonio Creek at San Antonio Road East","34.782356","-120.5292282"
"305SAN","San Benito at Y Road","36.885857","-121.5540771"
"305SBH","San Benito River at Hollister near 156","36.858334","-121.4472198"
"305ACR","San Juan creek @ 1st St and Christopher Ranch","36.851944","-121.5438919"
"305SJA","San Juan Creek @ Anzar Rd","36.875359","-121.561409"
"305MVR","San Juan Creek @ Mission Vineyard Rd near Hwy 156","36.840557","-121.519165"
"305PRR","San Juan Creek @ Prescott Rd","36.860001","-121.5419464"
"312SMA","Santa Maria River above Estuary","34.963776","-120.6417923"
"312SMI","Santa Maria River at Highway 1","34.977207","-120.5698318"
"309RTA","Santa Rita Creek @ Santa Rita Creek Park","36.725403","-121.6500473"
"314SYN","Santa Ynez River at 13th Street","34.676617","-120.5533905"
"314SYF","Santa Ynez River at Floradale Rd","34.672131","-120.4921036"
"314SYI","Santa Ynez River at Highway 101","34.60622","-120.1925278"
"314SYL","Santa Ynez River at Highway 246","34.643871","-120.4304504"
"305STL","Struve Slough at Lee Road","36.903843","-121.7823105"
"309TEH","Tembladero Slough @ Haro","36.759319","-121.7548676"
"305TSR","Tequisquita Slough upstream Pajaro River @ Shore Rd","36.942501","-121.4448318"
"310WRP","Warden Creek @ Wetlands Restoration Preserve","35.320671","-120.8060989"
"305WCS","Watsonville Creek (aka Corncob Canyon) at Elkhorn Rd/Hudson Lndg","36.873852","-121.7452087"
"305WSA","Watsonville Slough upstream Harkins Slough","36.890514","-121.8007126"
"304-CSD-10","Noble Gulch Creek at Kennedy Drive, trib to Soquel Creek","36.983665","-121.944809"
"GAB-VET","Gabilan Creek at Veteran's Park","36.693916","-121.6272812"
"NAT-LAS","Natividad Creek at Las Casitas Drive","36.697781","-121.6110306"
"309ALD","Salinas Reclamation Canal @ Boranda Rd","36.690247","-121.6795197"
"309-SRITA-36","Santa Rita Creek at North Main Street and East Bolivar Street","36.724617","-121.6560287"
"309-SRITA-34","Santa Rita Creek at Russell Road","36.730335","-121.6424255"
"314WE0542","El Jaro Creek ~0.3 miles downstream from Ytias Creek.","34.55085","-120.3582993"
"305WE0883","Little Arthur Creek ~1mi W Redwood Retreat Rd.","37.044529","-121.7286072"
"314WE0898","Nojoqui Creek Hwy 101 ~1.4mi S Hwy 246","34.594021","-120.1937637"
"314WE0796","Santa Cruz Creek WF ~3mi above Coche Creek","34.68351","-119.7987518"
"313WE0899","Shuman Creek Pt Sal Rd. ~1.4mi W Casmalia","34.82946","-120.5491562"
"314WE0785","Unnamed Creek ~0.2mi SE Santa Ynez River","34.674728","-120.5141678"
"314WE0779","Coche Creek ~1mi above WF Santa Cruz Creek","34.66959","-119.7540436"
"314WE0677","Alamo Pintado Creek ~0.8mi above Figueroa Mtn. Rd.","34.7477","-120.0530319"
"314WE1046","Kelly Creek ~0.8mi above Paradise Rd.","34.536499","-119.8360291"
"304WE1096","Scott Creek ~0.7mi above Mill Creek","37.085098","-122.2474136"
"312WE1035","Sisquoc River ~0.2mi below Big Pine Canyon","34.732868","-119.6763687"
"312WE1028","Sisquoc River ~0.8mi below Rattlesnake Canyon","34.747211","-119.7156219"
"312CAW052","Alamo Creek ~0.8mi below Branch Creek","35.136341","-120.187233"
"309CAW009","Arroyo Seco Creek ~0.6mi above Piney Cr.","36.256279","-121.4285431"
"307CAW135","Carmel River CAW135","36.544128","-121.9171677"
"310CAW176","Chorro Creek ~3.5mi above San Luisito Creek","35.325081","-120.7526627"
"312CAW031","Cuyama River ~1mi NE Carrizo Canyon Creek","35.076141","-120.0120926"
"309CAW178","Rattle Snake Creek ~0.4mi above Pinal Creek","36.083641","-121.3944473"
"305CAW057","Salsipuedes Creek ~0.6mi above Hw 129","36.9175","-121.7355576"
"309CAW194","San Antonio River above Del Venturi Rd.","36.000332","-121.2453384"
"309CAW174","San Antonio River NF above Carrizo Creek","36.092789","-121.4343491"
"310CAW192","San Luis Obispo Creek ~1.1mi above Reservoir Canyon Creek","35.306511","-120.6236725"
"304CAW016","San Vicente Creek at Davenport","37.00993","-122.1911316"
"304CAW081","Soquel Creek ~0.2mi above Laurel Glen Rd.","37.034111","-121.942009"
"309CAW126","Tassajara Creek ~0.3mi above Tassajara Hot Springs","36.23077","-121.5498886"
"305CAW097","Bodfish Creek ~0.45mi below Whitehurst Rd.","37.009392","-121.6620407"
"314WE1102","Cachuma Creek ~0.25mi below Cachuma Cmp Grnd","34.695259","-119.9091492"
"308CAW055","Garrapata Creek ~0.2mi below Joshua Creek","36.416309","-121.9067993"
"305CAW049","Pacheco Creek ~1.3mi above South Fork","37.050522","-121.2571716"
"304CAW153","Scott Creek ~4mi below Little Basin","37.112991","-122.2510834"
"309CAW116","Toro Creek at Gaging Station","35.321259","-120.4236679"
"309CAW130","Nacimiento River 0.7mi above Slickrock Creek","35.986172","-121.3559189"
"309CAW182","San Antonio River ~1.4mi above Sam Jones Rd.","35.925919","-121.1502838"
"305CAW161","Uvas Creek ~0.4mi below Thomas Rd","36.98896","-121.5669174"
"309CAW050","San Antonio River at Oro Fino Canyon","35.965889","-121.2102432"
"310UPN","Upper Pennington Creek","35.348038","-120.7260666"
"310TUR","Warden Creek @ Turi Road","35.302231","-120.7752686"
"310UCR","Chorro Creek @ upper Chorro Creek Ecological Reserve","35.338619","-120.7675171"
"310CER","Chorro Creek above Ecological Reserve, ~0.3mi above San Luisito Creek","35.347382","-120.7730408"
"310CHO","Chorro Creek at Camp SLO","35.322121","-120.7222061"
"310TWB","Chorro Creek at South Bay Boulevard","35.354225","-120.8269424"
"310COO","Coon Creek at Pecho Valley Road","35.254757","-120.8854904"
"310DAM","Dairy Creek within Cattle exclosure","35.346081","-120.7152634"
"310CLV","Los Osos Creek 1.0 mi downstream from 310CLK","35.28793","-120.8022156"
"310LVR","Los Osos Creek Los Osos Valley Rd.","35.306","-120.8106613"
"310CPN","Pennington Creek @ bridge","35.345306","-120.7289276"
"310PEN","Pennington Creek at Hwy 1","35.333969","-120.7434006"
"310APN","Pennington Creek upstream from horse corral","35.353661","-120.7217636"
"310SLU","San Luisito Creek @ Adobe Rd","35.355904","-120.7860489"
"310UWR","Warden Creek 1.5 mi upstream from Turri Rd","35.293861","-120.7523956"
"310CAN","Chorro Creek at Canet Road","35.353062","-120.7876434"
"310DAL","Dairy Creek lower limit","35.33778","-120.7222214"
"310SYB","Los Osos Creek @ Turri Rd no littering sign","35.332779","-120.8172226"
"310SBE","San Bernardo Creek @ Adobe Rd","35.361736","-120.805275"
"310DAU","Dairy Creek above Cattle Enclosure","35.350719","-120.7094193"
"310CHD","Chorro Creek below Chorro Creek Dam","35.334309","-120.688591"
"310CLK","Los Osos Creek Clark Valley Road","35.286072","-120.7977524"
"310MNO","San Bernardo Creek, Maino Ranch","35.375748","-120.7929916"
"310LSL","San Luisito Creek Lower","35.359413","-120.7761917"
"310USL","San Luisito Creek Upper","35.365959","-120.7507095"
"CMWCP00","Carpinteria Creek at 8th Street","34.392632","-119.5142212"
"CMWFK00","Franklin Creek at Carpinteria Ave.","34.401649","-119.5211792"
"CMWSM01","Santa Monica Creek at Via Real","34.40403","-119.5287781"
"GVWAT2","Atascadero Creek at Patterson","34.424709","-119.8107376"
"GVWAT3","Atascadero Creek at Puente Drive","34.432381","-119.7841721"
"GVWAT1","Atascadero Creek at Ward","34.423168","-119.8206329"
"GVWBL2","Bell Creek at San Miguel Open Space","34.439201","-119.9057312"
"GVWCG1","Cieneguitas Creek at Nogal Drive","34.436218","-119.7709198"
"GVWDV21","El Encanto Creek (Phelps Ditch) above Ocean Meadows Golf Course","34.422379","-119.8791504"
"GVWDV24","El Encanto Creek (Phelps Ditch) at Padova Park","34.437431","-119.883728"
"GVWDV22","El Encanto Creek (Phelps Ditch) at Phelps Rd.","34.42469","-119.8807526"
"GVWDV20","El Encanto Creek at Devereux Slough","34.417648","-119.8740921"
"GVWGA2","Glen Annie/Tecolotito Creek at Cathedral Oaks","34.441002","-119.875351"
"GVWGA1","Glen Annie/Tecolotito Creek at Hollister Avenue","34.431599","-119.8586197"
"GVWLV1","Las Vegas Creek at La Goleta Road","34.45319","-119.8343964"
"GVWLC2","Los Carneros Creek at Calle Rea","34.439739","-119.8537827"
"GVWLC1","Los Carneros Creek at Hollister","34.43137","-119.8474579"
"GVWMY2","Maria Ygnacio at Old San Marcos Road","34.459141","-119.7955322"
"GVWMY1","Maria Ygnacio Creek at Patterson","34.424801","-119.8107986"
"GVWSJ1","San Jose Creek at Hollister Avenue","34.43581","-119.8191681"
"GVWSJ2","San Jose Creek at North Patterson Avenue","34.457611","-119.8101578"
"GVWSP3","San Pedro Creek at Cathedral Oaks Road","34.450741","-119.8421631"
"GVWSP1","San Pedro Creek near Hollister Avenue","34.43512","-119.8315582"
"GVWTC2","Tecolote Creek at Vereda del Padre","34.437099","-119.9165878"
"GVWTC1","Tecolote Creek Lagoon","34.431992","-119.9174728"
"GVWDV25","Tributary of El Encanto Creek (Phelps Ditch) at Evergreen Frisbee Course","34.436409","-119.8858185"
"307PS0028","Carmel River","36.407829","-121.6794586"
"304PS0018","Lompico Creek","37.11937","-122.0503464"
"305PS0034","Pajaro River","36.916088","-121.6987305"
"309PS0040","Salinas River PS0040","36.34943","-121.2161331"
"304PS0006","Valencia Creek","36.976601","-121.892868"
"307PS0044","Carmel River ~0.5mi below Paso Del Rio Rd.","36.504211","-121.762886"
"305PS0061","Llagas Creek below E San Martin Ave.","37.082607","-121.6010895"
"309PS0043","Nacimiento River ~2.5mi above Avery Rd.","35.756271","-120.8377686"
"305PS0057","Pajaro River above Millers Canal","36.952045","-121.5117722"
"312PS0099","Manzana Creek ~1.1mi below Davy Brown Cr.","34.77948","-119.9580231"
