"station_codes","station_names","lat","long"
"309PS0072","Salinas River ~1.1mi above Hwy 101","36.190926","-121.128067"
"309PS0116","San Antonio River ~0.5mi above Bear Cyn. Cr.","36.063908","-121.3262253"
"304PS0146","Arana Gulch at Soquel Ave.","36.983204","-121.9947433"
"304PS0194","East Waddell Creek ~0.7mi below Opal Cr.","37.159698","-122.2340012"
"308PS0156","Skinner Creek ~0.2mi above Little Sur River","36.327648","-121.7897491"
"308PS0204","Big Sur River ~1mi above Pfeiffer Redwood Cr.","36.260113","-121.7942352"
"304PS0253","San Lorenzo River ~0.4mi above McGaffigan Rd.","37.201889","-122.1466522"
"304PS0274","Zayante Creek above Grahm Hill Rd","37.048313","-122.0668106"
"308PS0308","Unnamed Trib. to Mill Creek ~0.8mi above Mainstem","35.999859","-121.4548187"
"307CE0094","San Clemente Creek ~1.3mi above Black Rock Creek","36.42857","-121.7585602"
"309ARCBRC","Arroyo Seco below Rocky Creek","36.235989","-121.4843369"
"309CLCBVC","Chalone Creek","36.465881","-121.1549225"
"305CLCSBR","Clear Creek","36.362202","-120.7591782"
"305LGCACR","Laguna Creek","36.348671","-120.8208694"
"309SARANF","San Antonio River","36.064529","-121.3857193"
"309SDCMCC","Sandy Creek","36.487869","-121.1517868"
"310LPCBPC","Lopez Canyon Creek ~0.5mi below Potrero Cr.","35.280231","-120.5411377"
"315ARH101","Arroyo Hondo ~0.5mi above Hwy 101","34.481709","-120.1408844"
"309ARSARC","Arroyo Seco ~0.3mi above Rosevelt Cr.","36.119659","-121.4686584"
"308BSU","Big Sur River at Peiffer Big Sur State Park USGS gauge","36.245792","-121.7722244"
"307CMRADC","Carmel River above Danish Cr.","36.372227","-121.6630859"
"305LGCBRC","Llagas Creek above Baldy Ryan Cyn. Cr.","37.148159","-121.7736893"
"312MZCDBC","Manzana Creek ~0.5mi above Davy Brown Creek","34.770447","-119.937027"
"308MWCAH1","McWay Creek ~0.4mi above Hwy 1","36.162552","-121.6664276"
"310OLD","Old Creek at Cottontail Creek Road County Access Gate","35.471672","-120.8589478"
"308PWCAH1","Prewitt Creek above Hwy 1","35.935547","-121.4678116"
"312RYCALR","Reyes Creek ~2.7mi above Lockwood Valley Rd.","34.674377","-119.2975159"
"308SAM","Salmon Creek upstream Hwy 1","35.815769","-121.3583832"
"307SCCARR","San Clemente Creek ~0.5mi above Robinson Cyn. Rd.","36.430817","-121.7984695"
"304SPC236","Sempervirens Creek above Hwy 236","37.168324","-122.2142181"
"305SSCAUC","Swanson Creek above Uvas Cr.","37.084991","-121.794342"
"305UVCASC","Uvas Creek above Swanson Cyn. Cr.","37.086601","-121.7945099"
"304WDCAH1","Waddell Creek ~1.8mi above Hwy 1","37.113716","-122.269783"
"309WLCATC","Willow Creek ~0.3mi above Trassajara Cr.","36.213062","-121.5350494"
"308BGC","Big Creek at Highway 1","36.070908","-121.5980682"
"308LSRASC","Little Sur River ~0.4mi above Skinner Cr.","36.3256","-121.7894287"
"310SSU","San Simeon Creek at San Simeon Creek Road","35.608879","-121.0766296"
"309LAS1MI","Arroyo Seco Creek ~1.1mi below Tassajara Cr.","36.228802","-121.4953003"
"312DAVDAV","Davy Brown Creek below Munch Cyn.","34.7612","-119.9542007"
"308LILPAL","Little Sur River ~1.7mi above Skinner Cr.","36.339901","-121.8087006"
"308ROCBBQ","Rocky Creek ~1.7mi above Hwy 1","36.378101","-121.8862"
"309SED071","Tassajara Creek - Horse Pasture Trail 71","36.218819","-121.5140533"
"308WER325","Little Sur River above Skinner Creek","36.3283","-121.7952271"
"312SQRABP","Sisquoc River ~2.3 mi above Big Pine Cyn.","34.7164","-119.6462021"
"304APW","Aptos Creek @ Winfield","36.972153","-121.9043732"
"304APT","Aptos Creek at Spreckles Drive","36.973915","-121.9027405"
"315ABU","Arroyo Burro at Cliff Drive","34.405052","-119.7391129"
"310ADU","Arroyo de la Cruz 500m upstream from Highway 1","35.709484","-121.2955093"
"310ADC","Arroyo de la Cruz at Highway 1","35.708344","-121.3034973"
"310ARG","Arroyo Grande Creek at 22nd Street","35.095215","-120.6062469"
"315ATA","Atascadero Creek at Ward Drive","34.42345","-119.8192902"
"308BSR","Big Sur River at Andrew Molera foot bridge","36.286594","-121.8430481"
"315GAV","Canada de la Gaviota at State Park entrance","34.47356","-120.2284241"
"307CML","Carmel River at Highway 1","36.536377","-121.9116745"
"315CRP","Carpinteria Creek at 8th Street foot bridge","34.393509","-119.5118103"
"315FRC","Franklin Creek at 7th Street","34.401402","-119.5208282"
"304GAZ","Gazos Creek Lagoon at Highway 1","37.165756","-122.3595505"
"315JAL","Jalama Creek at County Park at RR trussels","34.512173","-120.4982224"
"308LSR","Little Sur River @ Hwy 1","36.332783","-121.8843155"
"315MIS","Mission Creek at Montecito Street","34.413036","-119.6940079"
"305THU","Pajaro River at Thurwachter Bridge","36.879776","-121.7919464"
"310PIS","Pismo Creek above Highway 101, Frady Lane Bridge","35.140347","-120.6344986"
"315RIN","Rincon Creek at Bates Road","34.376865","-119.4769287"
"309DAV","Salinas River at Davis Road","36.646805","-121.7013855"
"313SAI","San Antonio Creek at San Antonio Rd West","34.78233","-120.5299683"
"313SAC","San Antonio Creek at VAFB RR bridge","34.790089","-120.6098633"
"310SLB","San Luis Obispo Creek at San Luis Bay Drive","35.188324","-120.7179184"
"310SSC","San Simeon Creek at State Park foot bridge","35.59454","-121.1210175"
"304SVC","San Vicente Creek at the gate at the end of San Vicente Creek Road","37.02095","-122.1866989"
"310SRO","Santa Rosa Ck at Moonstone Beach Drive","35.567989","-121.1031952"
"304SCM","Scott Creek upstream Big Creek residences","37.104393","-122.250618"
"304SOK","Soquel Creek at Knob Hill Parking Lot","36.980145","-121.9562378"
"304SOQ","Soquel Creek Lagoon at RR Trussels","36.973438","-121.9528198"
"304WAD","Waddell Creek Lagoon at Highway 1","37.096413","-122.2769699"
"308WLO","Willow Creek at Highway 1","35.893696","-121.4596634"
"312ALA","Alamo Creek at Alamo Creek Road","35.026669","-120.3036957"
"315ABH","Arroyo Burro Creek at Hope Street","34.437889","-119.7457428"
"315ATU","Atascadero Creek @ Patterson Avenue","34.425079","-119.8090439"
"315BEL","Bell Ck on Bacara Resort Access Road","34.43248","-119.9116364"
"312BCD","Blosser Channel below groundwater recharge ponds","34.986427","-120.4530563"
"312BCF","Bradley Canyon diversion channel @ Foxen Canyon Rd","34.923218","-120.3548431"
"312BCU","Bradley Channel above ponds at Magellan Drive","34.971149","-120.4165878"
"315GAI","Canada de la Gaviota at Highway 1","34.510014","-120.2274246"
"315RSB","Canada del Refugio above Highway 101","34.465954","-120.0677185"
"312CAV","Cuyama River at Highway 33","34.688187","-119.3579025"
"312CUY","Cuyama River downstream Buckhorn Rd","35.021774","-120.2267838"
"315DOS","Dos Pueblos Canyon Creek at Highway 101","34.447632","-119.9588165"
"315CAP","El Capitan Creek below Highway 101","34.460423","-120.0217743"
"315ANN","Glenn Annie Creek at Los Carneros Road","34.432148","-119.8580933"
"312BRE","La Brea Creek at private property access","34.853951","-120.1935272"
"315MYC","Maria Ynacio Creek @ Patterson Avenue","34.425354","-119.8091736"
"315MIU","Mission Creek at Foothill Road","34.446732","-119.7074585"
"312NIP","Nipomo Creek at Highway 166","34.995632","-120.4379272"
"312NIT","Nipomo Creek at Tefft Street","35.038834","-120.480484"
"315ROM","Romero Creek @ Jamison Lane","34.421391","-119.6188354"
"309SBR","Salinas River @ Hwy 1","36.732227","-121.7824478"
"314SAL","Salsipuedes Creek @ Santa Rosa Rd","34.621761","-120.4208145"
"313SAB","San Antonio Creek at Rancho de las Flores Bridge and Highway 135","34.75589","-120.3479538"
"315SJC","San Jose Creek @ Kellogg Boulevard","34.428028","-119.8234787"
"314MIG","San Miguelito Creek at W. North Avenue","34.653545","-120.4737396"
"315SPC","San Pedro Creek above Holister Road","34.4356","-119.8307724"
"315SMC","Santa Monica Creek @ Carpenteria Avenue","34.404789","-119.5278549"
"314SYP","Santa Ynez River at Paradise Road","34.54623","-119.7762527"
"314SYC","Santa Ynez River d/s Lake Cachuma at Highway 154","34.587997","-120.0265121"
"312SIV","Sisquoc River upstream Tepusquet at USGS gage","34.839657","-120.1675415"
"315SCC","Sycamore Creek at Punta Gorda","34.420879","-119.6696091"
"315TCI","Tecolote Creek @ Bacara Resort access Road","34.434025","-119.9157715"
"315TOR","Toro Canyon Creek at  Via Real","34.417046","-119.5658569"
"304APS","Aptos Creek at Nisene Marks Park Road","37.001442","-121.9051437"
"304ARA","Arana Gulch at Harbor High School","36.983917","-121.9929504"
"304BEP","Bear Creek at Elks Park","37.127907","-122.1205521"
"304BH9","Boulder Creek at Highway 9","37.126656","-122.1216202"
"304BRA","Branciforte Creek at Water Street","36.980663","-122.0172653"
"305COR2","Corralitos Creek at Brown Valley Road","36.989059","-121.8013535"
"305LUC","Llagas Creek @ Luchessa Avenue/Southside Drive","36.990719","-121.5307312"
"305MON","Llagas Creek @ Monterey Rd","37.095676","-121.6156311"
"305OAK","Llagas Creek @ Oak Glen Avenue","37.114864","-121.6872101"
"305CHE","Llagas Creek @ Chesbro Reservoir","37.126297","-121.7310638"
"305PAC","Pacheco Creek at San Felipe Road","36.944164","-121.3837509"
"305PAJ","Pajaro River at Betabel Road","36.916794","-121.5482788"
"305MUR","Pajaro River at Murphy's Crossing","36.905334","-121.6752396"
"305BRI","San Benito River, Bridge downstream Willow Creek","36.614235","-121.2105637"
"305SJN","San Juan Creek at Anzar Rd for RWB3 Site","36.875458","-121.5613556"
"304SLB","San Lorenzo River at Big Trees Road","37.044312","-122.070961"
"304RIV","San Lorenzo River at Crossing Street","36.991322","-122.0307541"
"304SL9","San Lorenzo River at Highway 9","37.088387","-122.0875015"
"304SLE","San Lorenzo Upstream Bear Creek","37.127777","-122.1210403"
"304SOU","Soquel Creek at Soquel Creek Road","37.030891","-121.9452972"
"305TES","Tesquisquita Slough at Shore Road","36.942883","-121.4430084"
"305TRE","Tres Pinos Creek @ Southside Rd","36.788052","-121.3579254"
"305UVA","Uvas Creek at Bloomfield Avenue","36.965134","-121.5309219"
"304VAL","Valencia Creek upstream Aptos Creek Confluence","36.975529","-121.9006348"
"304ZAY","Zayante Creek at Graham Hill Road","37.049564","-122.0643005"
"305CAR","Carnadero Creek at Private property access","36.959911","-121.53479"
"305HAR","Harkins Slough at Harkins Slough Road","36.911396","-121.8024521"
"305VIS","Llagas Creek @ Buena Vista Avenue","37.048882","-121.5576324"
"305LEA","Llagas Creek at Leavesley Road","37.031349","-121.5437698"
"305PES","Pescadero Creek NE of Chittendon @ RR tracks","36.901524","-121.5843048"
"309POT","Old Salinas River @ Potrero Rd","36.790768","-121.7893219"
"309SEC","Arroyo Seco River @ Elm St","36.280521","-121.3215408"
"309ATS","Atascadero Creek Highway 41","35.492928","-120.664032"
"306CAR","Carneros Creek in Los Lomas @ Blohm Rd","36.859962","-121.7390213"
"317CHO","Cholame Creek At Bitterwater Road","35.709816","-120.303833"
"309NAC","Nacimiento River at Highway 101","35.812973","-120.7574539"
"309UAL","Salinas Reclamation Canal @ Old Stage Rd","36.645454","-121.5759811"
"309ALU","Salinas Reclamation Canal at Airport Rd","36.661926","-121.6210403"
"309KNG","Salinas River @ Hwy 101 in King City","36.202583","-121.1411591"
"309SAS","Salinas River @ Hwy 101 in Soledad","36.410488","-121.3184433"
"309PSO","Salinas River 13th Street in Paso Robles","35.628498","-120.683403"
"309SAT","Salinas River at Highway 41","35.493439","-120.6446533"
"309DSA","Salinas River Cattlemen Road near San Ardo","36.016632","-120.9121017"
"309SAN","San Antonio River @ Hwy 101","35.855064","-120.8002701"
"309TEM","Tembladero Slough @ Preston Rd","36.765045","-121.758461"
"306WAC","Watsonville Creek @ Elkhorn Rd","36.875652","-121.743927"
"309SET","Arroyo Seco River at Thorne Road","36.321465","-121.2945099"
"317CHO2","Cholame Creek 500m Downstream of Bitterwater Rd.","35.707249","-120.3087616"
"317EST","Estrella River @ Airport Rd","35.717258","-120.6392212"
"309AXX","Salinas Reclamation Canal Storm Drain @ Airport Rd","36.661926","-121.6210403"
"309LOR","San Lorenzo Creek @ Bitterwater Rd east of King City","36.267315","-121.068306"
"309LOK","San Lorenzo Creek @ First St in King City","36.208633","-121.1175766"
"309TOP","Topo Creek @ Metz Rd","36.353851","-121.2078934"
"309NAF","Nacimiento River above Ponderosa campground","36.014015","-121.4120407"
"309SAP","Salinas River at High Mountain Lookout Road","35.294147","-120.388443"
"309ANT","San Antonio River at Interlake Road Bridge","35.89653","-121.0888672"
"315SJH","San Jose Creek @ Hollister Road","34.435734","-119.8191986"
"315CAU","Carpinteria Creek at Highway 192","34.401279","-119.4862289"
"315MTC","Montecito Creek at Jamison Lane","34.422962","-119.6336517"
"315YSI","San Ysidro Creek @ Jamison Lane","34.421192","-119.6221619"
"310SCN","Stenner Creek at Nipomo Street","35.280464","-120.6669159"
"310AGB","Arroyo Grande at Bittle Park","35.185097","-120.4986649"
"310AGF","Arroyo Grande at Fair Oaks Bridge","35.112606","-120.5862656"
"310AGS","Arroyo Grande Creek @ Strother Park","35.127777","-120.5564804"
"307CMN","Carmel River @ Nason Rd Community Park","36.399208","-121.6604691"
"307CMU","Carmel River at Esquiline Road","36.474358","-121.7275162"
"308GAR","Garrapata Creek at Private Property access (above Highway 1)","36.415527","-121.9104004"
"308LIM","Limekiln Creek @ Limekiln State Park","36.009251","-121.5175171"
"308MIL","Mill Creek @ Mill Creek Picnic Area","35.982693","-121.4901962"
"310PCO","Pico Creek @ Hwy 1","35.616577","-121.1474228"
"308SJC","San Jose Creek at Private Road Access (north of Point Lobos)","36.51973","-121.9207611"
"310SLC","San Luis Creek at Cuesta Park","35.294193","-120.6414185"
"310SLV","San Luis Obispo Ck at Los Osos Valley Road","35.243122","-120.6801529"
"310SLM","San Luis Obispo Creek @ Mission Plaza","35.279846","-120.6630402"
"310SRU","Santa Rosa Creek at Ferrassi Road","35.568001","-121.0640411"
"307TUL","Tularcitos Creek @ Carmel Valley Rd","36.446537","-121.6815338"
"307CMD","Carmel River @ Schulte Rd","36.52552","-121.8305664"
"310CAY","Cayucos Creek @ Cayucos Creek Rd","35.453442","-120.9060745"
"310SCP","San Carpoforo Creek @ Hwy 1","35.764523","-121.318634"
"310TCC","Toro Creek at Toro Creek Canyon Road Bridge","35.416595","-120.8684921"
"310TOR","Toro Creek upstream Hwy 1","35.412605","-120.8713837"
"310VIA","Villa Creek upstream Hwy 1","35.468491","-120.9756241"
"308LSU","Little Sur River @ Old Coast Rd","36.330406","-121.861557"
"310BER","Los Berros Creek @ Valley Rd","35.103569","-120.5804367"
"310MOR","Morro Creek @ Lila Kaiser Park","35.376549","-120.8587646"
"312CCC","Cuyama River below Cottonwood Canyon","35.04076","-119.885704"
"312GVT","Orcutt Creek at Brown Road","34.933949","-120.557869"
"312CUT","Cuyama River below Twitchell @ White Rock Lane","34.905514","-120.302681"
"312HUA","Huasna River at School Road","35.086658","-120.3681641"
"312SBC","Santa Maria River at Bull Canyon Road","34.971127","-120.40168"
"312SIS","Sisquoc River At Santa Maria Mesa Road","34.893703","-120.3051758"
"311SLN","Soda Lake North Tributary at Seven Mile Road","35.268372","-119.9268723"
"311SLE","Soda Lake northeast culvert @ Seven Mile Rd","35.280434","-119.9089508"
"309SALUBD","Salinas River at Blaco Road (upstream of Blanco Dam)","36.67815","-121.7457962"
"309SALDBD","Salinas River downstream of Blaco Drain (100 feet above inflatable dam)","36.74884","-121.709404"
"309SALDDM","Salinas River downstream of Blanco Drain (100 feet below the inflatable dam)","36.710457","-121.7504959"
"315FRCMVU","Franklin Creek 300 feet above Meadow View Road","34.407288","-119.5173645"
"315FRCMVD","Franklin Creek 300 feet below Meadow View Road","34.406395","-119.5176392"
"305CCUSGS","Clear Creek at USGS gauge and Oak Flat Camp","36.360828","-120.7604904"
